37: 1 0, 2 0, 3 0, 4 0, 5 0, 6 0, 7 0, 8 0, 9 0, 10 0
38: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 0, 8 0, 9 0, 10 0
39: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 1, 8 0, 9 0, 10 0
40: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 1, 8 1, 9 0, 10 0
41: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 1, 8 1, 9 1, 10 0
42: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 1, 8 1, 9 1, 10 1
43: 1 0, 2 0, 3 0, 4 0, 5 0, 6 1, 7 1, 8 1, 9 1, 10 1
44: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 1, 8 1, 9 1, 10 1
45: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 1, 8 1, 9 1, 10 1
46: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 1, 9 1, 10 1
47: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 1, 9 1, 10 1
48: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 1, 10 1
49: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 1, 10 1
50: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 1
51: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 1
52: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 2
53: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 2
54: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 2
55: 1 0, 2 0, 3 0, 4 0, 5 0, 6 2, 7 2, 8 2, 9 2, 10 2
56: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 2, 9 2, 10 2
57: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 2, 9 2, 10 2
58: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 2, 9 2, 10 2
59: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 2, 8 2, 9 2, 10 2
60: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 2, 9 2, 10 2
61: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 2, 9 2, 10 2
62: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 2, 9 2, 10 2
63: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 2, 9 2, 10 2
64: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 2
65: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 2
66: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 2
67: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 2, 10 2
68: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
69: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
70: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
71: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 2
72: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
73: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
74: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
75: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
76: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
77: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
78: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
79: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
80: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
81: 1 0, 2 0, 3 0, 4 0, 5 0, 6 3, 7 3, 8 3, 9 3, 10 3
